"// 아이템 ID,"	"drop,"	"교환창올리기,"	"창고,"	"카트,"	"NPC판매,"	"메일,"	"옥션,"	"길드창고"	     
// 이형식은 공백 라인을 인정하지 않습니다. 주의하세요.									
505	0	0	0	0	1	1	1	1	//Blue_Potion
518	0	0	0	0	1	1	1	1	//Honey
526	0	0	0	0	1	1	1	1	//Royal_Jelly
547	1	0	0	0	1	1	1	1	//White_Slim_Potion
556	1	1	0	1	0	1	1	1	//Long_Rice_Cake
558	0	0	0	0	1	1	1	1	//Chocolate
561	0	0	0	0	1	1	1	1	//White_Chocolate
566	1	0	0	0	1	1	1	1	//Tomyumkung
569	1	1	1	1	0	1	1	1	//Novice_Potion
573	1	0	0	0	1	1	1	1	//Chocolate_Drink
603	1	0	0	0	1	1	1	1	//Old_Blue_Box
607	0	0	0	0	0	1	1	1	//Yggdrasilberry
617	1	0	0	0	1	1	1	1	//Old_Violet_Box
665	0	0	0	0	1	0	0	1	//Gift_Box_2
744	1	0	0	0	0	0	0	1	//Bunch_Of_Flowers
745	1	0	0	0	0	0	0	1	//Wedding_Bouquet
755	1	1	0	1	1	1	1	1	//MVP_3d_Box_TH
758	1	1	0	1	1	1	1	1	//MVP_7d_Box_TH
759	1	0	0	0	1	1	1	1	//MVP_15d_Box_TH
760	1	1	0	1	1	1	1	1	//MVP_30d_Box_TH
768	1	1	0	1	1	1	1	1	//Fierce_Magique_Cert_EXE
769	1	1	0	1	1	1	1	1	//Fierce_Physique_Cert_EX
771	1	0	0	0	0	1	1	1	//Redilite_EXE
772	1	0	0	0	0	1	1	1	//Leafolite_EXE
773	1	0	0	0	0	1	1	1	//Oranite_EXE
774	1	0	0	0	0	1	1	1	//Purpulite_EXE
775	1	0	0	0	0	1	1	1	//Silvolite_EXE
776	1	1	0	1	0	1	1	1	//Everglow_EXE
777	1	0	0	0	1	1	1	1	//Bergman_Magic_Cert_EX
778	1	0	0	0	1	1	1	1	//Bergman_Physic_Cert_EXE
1004	0	0	0	1	0	1	1	1	//Patriotism_Marks
1006	0	0	0	1	0	1	1	1	//Old_Magic_Book
1173	1	1	1	1	1	1	1	1	//Muramasa_C
1177	1	1	0	1	1	1	1	1	//Muramash
1181	0	0	0	0	0	1	1	1	//Tae_Goo_Lyeon
1183	1	1	0	1	1	1	1	1	//BF_Two_Handed_Sword1
1184	1	1	0	1	1	1	1	1	//BF_Two_Handed_Sword2
1187	1	1	1	1	0	1	1	1	//Krieger_Twohand_Sword1
1190	1	1	1	1	1	1	1	1	//Claymore_C
1192	1	1	1	1	0	1	1	1	//P_Slayer1
1193	1	1	1	1	0	1	1	1	//P_Slayer2
1197	1	1	1	1	0	1	1	1	//P_Slayer3
1198	1	1	1	1	1	1	1	1	//Hairtail
1267	1	1	1	1	1	1	1	1	//Infiltrator_C
1272	1	1	0	1	1	1	1	1	//Scratcher
1273	1	1	0	1	1	1	1	1	//Bloody_Roar_C
1274	1	1	0	1	1	1	1	1	//Unholy_Touch_C
1279	1	1	0	1	1	1	1	1	//BF_Katar1
1280	1	1	0	1	1	1	1	1	//BF_Katar2
1281	1	1	1	1	0	1	1	1	//Krieger_Katar1
1282	1	1	1	1	0	1	1	1	//Krieger_Katar2
1283	1	1	1	1	1	1	1	1	//Katar_Of_Speed
1286	1	1	1	1	1	1	1	1	//Jamadhar_C
1289	1	1	1	1	0	1	1	1	//P_Katar1
1296	1	1	1	1	0	1	1	1	//Metal_Katar
1298	0	0	0	0	0	1	1	1	//Shiver_Katar
1299	1	1	1	1	0	1	1	1	//TE_Woe_Katar
1310	1	1	1	1	0	1	1	1	//Krieger_Onehand_Axe1
1312	1	1	1	1	1	1	1	1	//Orcish_Axe_C
1313	1	1	1	1	0	1	1	1	//Tourist_Axe
1314	1	1	1	1	0	1	1	1	//F_Tomahawk_C
1318	0	0	0	0	0	1	1	1	//Dofle_Axe
1319	1	1	1	1	0	1	1	1	//TE_Woe_Axe
1322	1	0	0	0	1	1	1	1	//Ru_Blue_Axe
